id,species,observed_on,place,user
248495756,Atlantic Menhaden,10/18/2024,"Ørland, Norway",audun
239595248,Atlantic Menhaden,8/15/2024,"Kandalaksha gorsovet, RU-KI-LO, RU-KI, RU-MM, RU",kiselevm
268246852,Atlantic Menhaden,8/9/2024,,llteed
230991261,Atlantic Menhaden,7/21/2024,Россия,zhura
230245084,Atlantic Menhaden,7/9/2024,"Loukhskiy rayon, RU-KI, RU",prokhozhyj
216880129,Atlantic Menhaden,5/19/2024,"Smøla Municipality, Norway",gaton1
214391631,Atlantic Menhaden,5/8/2024,Ersvika,ruseva
214429657,Atlantic Menhaden,5/8/2024,"Conanicut Island, Jamestown, RI, US",crustaceous_cam
181695880,Atlantic Menhaden,9/3/2023,"Bodø, NO-NO, NO",cescgv
181294191,Atlantic Menhaden,7/14/2023,"Division No. 1, Newfoundland and Labrador, Canada",kevinckma
171294029,Atlantic Menhaden,7/5/2023,"Deadmans Point, Halifax, NS, CA",matty_mar
188004798,Atlantic Menhaden,6/27/2023,"Loukhskiy rayon, RU-KI, RU",sanya-copepoda
163204426,Atlantic Menhaden,5/22/2023,"Ersvika, Løding, 18, NO",cescgv
188695990,Atlantic Menhaden,9/14/2022,Kosterfjorden,mikkson
134287512,Atlantic Menhaden,8/24/2022,Россия,maria_kovalenko
134287466,Atlantic Menhaden,8/24/2022,Россия,maria_kovalenko
134223269,Atlantic Menhaden,8/15/2022,"Приморский, Респ. Карелия, Россия, 186672",maria_kovalenko
149109154,Atlantic Menhaden,7/14/2022,"Лоухский р-н, Респ. Карелия, Россия",prokhozhyj
118356292,Atlantic Menhaden,5/15/2022,"Terence Bay, NS, Canada",laragibson
113929267,Atlantic Menhaden,4/30/2022,"Будё, Норвегия",ruseva
97941966,Atlantic Menhaden,10/10/2021,"Hitra Municipality, Norway",monatetlie
98013868,Atlantic Menhaden,10/10/2021,"Hitra, Norge",sunhill
97941965,Atlantic Menhaden,10/10/2021,"Hitra Municipality, Norway",monatetlie
97940610,Atlantic Menhaden,10/9/2021,"Hitra Municipality, Norway",monatetlie
97942855,Atlantic Menhaden,10/7/2021,"Orkland, Norway",monatetlie
97942856,Atlantic Menhaden,10/7/2021,"Orkland, Norway",monatetlie
94919617,Atlantic Menhaden,9/15/2021,"Sörfolda, Bodø, NO",ruseva
92815952,Atlantic Menhaden,8/28/2021,"Øygarden Municipality, Norway",laramaleen
118622214,Atlantic Menhaden,8/4/2021,"Белое море, Мурманская область, RU",stepangetmanov
84379039,Atlantic Menhaden,6/24/2021,"St. Margarets Bay, Chester, CA",hunterefs
74054444,Atlantic Menhaden,4/15/2021,"Mill Cove, Chester, CA",hunterefs
38581657,Atlantic Menhaden,2/1/2020,"Terence Bay, NS, Canada",diveready3
