id,species,observed_on,place,user
251702814,Northern Diamondback Terrapin,11/14/2024,"New Jersey, US",rkluzco
250702399,Northern Diamondback Terrapin,11/6/2024,United States,dodomae98
250316861,Northern Diamondback Terrapin,11/2/2024,"New York, US",michaelgambino
249922108,Northern Diamondback Terrapin,10/31/2024,"New Jersey, US",cynthia_varamo
249227386,Northern Diamondback Terrapin,10/26/2024,United States,plantfella
249082086,Northern Diamondback Terrapin,10/25/2024,"New Jersey, US",jellyfishluvr84
249010177,Northern Diamondback Terrapin,10/23/2024,United States,litebytes
247996938,Northern Diamondback Terrapin,10/18/2024,United States,m107791
246357070,Northern Diamondback Terrapin,10/7/2024,"New Jersey, US",oliverpatrick
254257962,Northern Diamondback Terrapin,10/7/2024,"New Jersey, US",oliverpatrick
245640129,Northern Diamondback Terrapin,10/4/2024,"Virginia, US",koryangstadt
254049481,Northern Diamondback Terrapin,10/2/2024,United States,meegsc
244933289,Northern Diamondback Terrapin,9/30/2024,"New Jersey, US",cynthia_varamo
244933151,Northern Diamondback Terrapin,9/30/2024,"New Jersey, US",cynthia_varamo
244932918,Northern Diamondback Terrapin,9/30/2024,"New Jersey, US",cynthia_varamo
256555832,Northern Diamondback Terrapin,9/29/2024,"Virginia, US",vatrekker
244971698,Northern Diamondback Terrapin,9/29/2024,"Virginia, US",vatrekker
251494634,Northern Diamondback Terrapin,9/29/2024,United States,thesmilinggrinner
244322146,Northern Diamondback Terrapin,9/27/2024,"Connecticut, US",lkfreidenburg
244028529,Northern Diamondback Terrapin,9/25/2024,United States,beluga-belly
243978809,Northern Diamondback Terrapin,9/25/2024,"Suffolk County, US-NY, US",stevebiasetti
243110360,Northern Diamondback Terrapin,9/21/2024,"Suffolk County, US-NY, US",pixbob
242760078,Northern Diamondback Terrapin,9/19/2024,"Sussex County, DE, USA",kevin_burgio
243070147,Northern Diamondback Terrapin,9/19/2024,"Sussex County, DE, USA",melissa2669
242788540,Northern Diamondback Terrapin,9/19/2024,United States,georgek22
242738296,Northern Diamondback Terrapin,9/19/2024,United States,aidan17
242327948,Northern Diamondback Terrapin,9/16/2024,"New Jersey, US",dodomae98
246213406,Northern Diamondback Terrapin,9/14/2024,"New Jersey, US",naturejeanne
241537957,Northern Diamondback Terrapin,9/13/2024,"New Jersey, US",polarblairx
241878198,Northern Diamondback Terrapin,9/13/2024,"Virginia, US",prof__philip
242706795,Northern Diamondback Terrapin,9/13/2024,"Delaware, US",zihanwei
241300345,Northern Diamondback Terrapin,9/12/2024,"New Jersey, US",mwaters
241026700,Northern Diamondback Terrapin,9/10/2024,"Worcester County, MD, USA",bdeacon
240942669,Northern Diamondback Terrapin,9/10/2024,"New Jersey, US",deeholden
241033733,Northern Diamondback Terrapin,9/10/2024,"Milford, DE 19963, USA",soniasa505
240817078,Northern Diamondback Terrapin,9/9/2024,United States,ricknewton
240687505,Northern Diamondback Terrapin,9/8/2024,,godfathergoomba
241974151,Northern Diamondback Terrapin,9/8/2024,"Cape May County, US-NJ, US",etallo
240576001,Northern Diamondback Terrapin,9/8/2024,"New Jersey, US",rphillips13
239820893,Northern Diamondback Terrapin,9/4/2024,"Connecticut, US",rich168
238791215,Northern Diamondback Terrapin,8/30/2024,United States,marycpearl
238647936,Northern Diamondback Terrapin,8/29/2024,"New Jersey, US",joseph1318
238647935,Northern Diamondback Terrapin,8/29/2024,"New Jersey, US",joseph1318
240579233,Northern Diamondback Terrapin,8/29/2024,United States,kathy55654
238455063,Northern Diamondback Terrapin,8/28/2024,"Cape May County, US-NJ, US",btilgh
238301755,Northern Diamondback Terrapin,8/27/2024,United States,qiao1
238123861,Northern Diamondback Terrapin,8/26/2024,"Chincoteague Bay, MD, US",abbyhastings
239217949,Northern Diamondback Terrapin,8/26/2024,United States,ricknewton
237966486,Northern Diamondback Terrapin,8/25/2024,"Virginia, US",savhubbard
238061124,Northern Diamondback Terrapin,8/25/2024,"South Bethany, DE 19930, USA",fioritim
237302451,Northern Diamondback Terrapin,8/22/2024,"Virginia, US",kbarlow77
236753054,Northern Diamondback Terrapin,8/19/2024,"Fenwick Island, Bethany Beach, DE, US",plantmandrew
238327174,Northern Diamondback Terrapin,8/17/2024,United States,tpaterson25
237474062,Northern Diamondback Terrapin,8/16/2024,"New Haven County, US-CT, US",olivia_55
250733856,Northern Diamondback Terrapin,8/15/2024,"Connecticut, US",zoiesisolak
268105215,Northern Diamondback Terrapin,8/13/2024,"Suffolk County, US-NY, US",kmarrs9
235543951,Northern Diamondback Terrapin,8/13/2024,"Connecticut, US",mcole1112
235465882,Northern Diamondback Terrapin,8/12/2024,United States,pkinsella1993
235652763,Northern Diamondback Terrapin,8/12/2024,United States,emkeats
235629986,Northern Diamondback Terrapin,8/11/2024,"New Jersey, US",matthew6849
235652361,Northern Diamondback Terrapin,8/10/2024,"New Jersey, US",etantrah
234685592,Northern Diamondback Terrapin,8/9/2024,"New Jersey, US",etantrah
234155053,Northern Diamondback Terrapin,8/6/2024,"Suffolk County, US-NY, US",bathroomdoorknob
239269850,Northern Diamondback Terrapin,8/3/2024,"Cape May County, US-NJ, US",navin_sasikumar
233509286,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233509274,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233509273,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233509271,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233509264,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
233509263,Northern Diamondback Terrapin,8/2/2024,"New Jersey, US",thewanderingpiney
