id,species,observed_on,place,user
276728475,Seaside Sparrow,12/31/2024,"Pinelands Reserve Trail, Nokomis, FL, US",kairsterk
276726883,Seaside Sparrow,6/28/2024,"Vauban Esquermes, Lille, France",gcovain
276726640,Seaside Sparrow,11/25/2024,"Fort Lauderdale, FL, US",kairsterk
276724897,Seaside Sparrow,6/17/2024,"RT-35, Danvers, MA, US",smalleyc
276724624,Seaside Sparrow,7/10/2024,"Concord, MA, US",smalleyc
276724103,Seaside Sparrow,4/20/2024,"Missouri, US",hsimmonszoo
276724031,Seaside Sparrow,4/20/2024,"Missouri, US",hsimmonszoo
276724008,Seaside Sparrow,8/17/2024,"Ottawa, ON K2M 0L8, Canada",mandiezitanaturelife
276723998,Seaside Sparrow,4/17/2024,"Missouri, US",hsimmonszoo
276723991,Seaside Sparrow,4/17/2024,"Missouri, US",hsimmonszoo
276723593,Seaside Sparrow,11/19/2024,"Apopka, FL, US",kairsterk
276723436,Seaside Sparrow,7/21/2024,"Idaho County, US-ID, US",coleofthetonk
276723350,Seaside Sparrow,7/14/2024,United States,ebirding
276723311,Seaside Sparrow,10/31/2022,"Lac Nahuel Huapi, Argentine",albane0910
276723188,Seaside Sparrow,6/30/2021,"Ottawa, ON K2M 0L8, Canada",mandiezitanaturelife
276722736,Seaside Sparrow,2/2/2022,"Division No. 10, CA-AB, CA",moreana
276722608,Seaside Sparrow,5/9/2024,"Yazoo City, MS, US",andrewholzinger
276722267,Seaside Sparrow,6/20/2024,"Rescue, CA 95672, USA",lizessig
276721990,Seaside Sparrow,11/4/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721988,Seaside Sparrow,10/24/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721983,Seaside Sparrow,9/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721976,Seaside Sparrow,9/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721975,Seaside Sparrow,8/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721967,Seaside Sparrow,8/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721962,Seaside Sparrow,8/9/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721960,Seaside Sparrow,8/2/2024,"Robert L. B. Tobin Land Bridge, 13131 Blanco Rd, San Antonio, TX 78216, USA",phpconservancy
276721895,Seaside Sparrow,7/14/2024,United States,ebirding
276721782,Seaside Sparrow,7/14/2024,United States,ebirding
276721499,Seaside Sparrow,3/24/2023,"Woolfolk Rd, Yazoo City, MS, US",andrewholzinger
276721436,Seaside Sparrow,7/15/2024,United States,ebirding
276721257,Seaside Sparrow,8/2/2023,"Two Rivers Dr, Mukwonago, WI, US",maggiekaye
276721251,Seaside Sparrow,7/15/2024,United States,ebirding
276720389,Seaside Sparrow,3/31/2024,"Division No. 10, CA-AB, CA",moreana
276719715,Seaside Sparrow,7/24/2024,"The Esplanade, Toronto, ON, CA",moreana
276719235,Seaside Sparrow,5/27/2024,"Concord Rd, Sudbury, MA, US",smalleyc
276718720,Seaside Sparrow,5/1/2023,"Pascagoula, MS",bluedragonslug
276718718,Seaside Sparrow,5/1/2023,"Pascagoula, MS",bluedragonslug
276718659,Seaside Sparrow,6/18/2022,"Lydd, UK",roxplants
276718510,Seaside Sparrow,6/13/2021,"Old Richmond / Ad. 5092, Ottawa, ON K2R 1G8, Canada",mandiezitanaturelife
276717493,Seaside Sparrow,7/23/2024,"Ravalli County, US-MT, US",coleofthetonk
276717375,Seaside Sparrow,12/8/2022,"São Paulo, BR",polones
276716530,Seaside Sparrow,7/20/2022,"Capital Regional District, BC, Canada",rwhitelaw
276715562,Seaside Sparrow,5/31/2023,"Acadia University, Wolfville, NS, CA",tessaserry
276715509,Seaside Sparrow,4/11/2023,"Hattiesburg, MS, US",andrewholzinger
276715200,Seaside Sparrow,12/1/2022,"São Paulo, BR",polones
276715141,Seaside Sparrow,4/29/2023,"Woolfolk Rd, Yazoo City, MS, US",andrewholzinger
276714912,Seaside Sparrow,5/14/2023,"Christmas Place Rd, Lexington, MS, US",andrewholzinger
276714658,Seaside Sparrow,6/29/2023,"Acadia University, Wolfville, NS, CA",tessaserry
276714460,Seaside Sparrow,6/3/2024,"Camptonville, CA 95922, USA",lizessig
276714436,Seaside Sparrow,1/2/2022,"Palace Dr, Stafford, TX, US",happykatygirl
276714431,Seaside Sparrow,6/10/2024,"North Stamford, Stamford, CT, USA",ingrid_kaatz
276714355,Seaside Sparrow,11/24/2022,"São Paulo, BR",polones
276714217,Seaside Sparrow,6/4/2023,"Christmas Place Rd, Lexington, MS, US",andrewholzinger
276714102,Seaside Sparrow,11/19/2022,"Jb Marks, North West, ZA",swanepoel
276714081,Seaside Sparrow,7/13/2021,"W Holland St, Carthage, TX, US",happykatygirl
276713974,Seaside Sparrow,8/23/2021,"Curtiss Rd, Bossier City, LA, US",happykatygirl
276713795,Seaside Sparrow,6/28/2024,"Vauban Esquermes, Lille, France",gcovain
276713498,Seaside Sparrow,9/29/2024,"Steen Rd, Bridgeville, PA, US",lilly175
276713301,Seaside Sparrow,7/11/2024,United States,maesmatcha
276712967,Seaside Sparrow,6/6/2023,"W Levee Rd, Yazoo City, MS, US",andrewholzinger
276712721,Seaside Sparrow,7/11/2024,"Mammoth, WY 82190, USA",maesmatcha
276712224,Seaside Sparrow,7/2/2023,"Trunk 1, Wolfville, NS, CA",tessaserry
276711943,Seaside Sparrow,7/13/2023,"Acadia University, Wolfville, NS, CA",tessaserry
276711726,Seaside Sparrow,6/13/2023,"Louise, MS, US",andrewholzinger
276711025,Seaside Sparrow,7/14/2023,"Yazoo City, MS, US",andrewholzinger
276710879,Seaside Sparrow,8/15/2023,"Yazoo City, MS, US",andrewholzinger
276710657,Seaside Sparrow,11/25/2024,"Pichincha, EC",attila21
276710528,Seaside Sparrow,10/15/2020,"Girona, España",jesusaparicio69
276710234,Seaside Sparrow,11/5/2023,"29120 Plomeur, France",samuel-iglesias
276709951,Seaside Sparrow,11/25/2024,"Beaufort, NC, USA",jackkalil
276709370,Seaside Sparrow,9/14/2024,"Дзержинский р-н, Ярославль, Ярославская обл., Россия",aleksey23
276707144,Seaside Sparrow,10/13/2022,"Královské botanické zahrady, Richmond, Velká Británie",sona73853
276706345,Seaside Sparrow,3/23/2024,"Bioparque Estrella, Rayon Km. 9, 64700 Montemorelos, N.L., México",gabrieltejeda
276706338,Seaside Sparrow,7/9/2024,"C.U., Ciudad de México, CDMX, México",gabrieltejeda
276706195,Seaside Sparrow,10/13/2022,"Královské botanické zahrady, Richmond, Velká Británie",sona73853
276704891,Seaside Sparrow,7/20/2024,"Division No. 15, CA-AB, CA",aidanharrington1111
276704625,Seaside Sparrow,4/7/2024,"Woodbridge, VA 22191, USA",maesmatcha
276703852,Seaside Sparrow,9/22/2020,"Girona, España",jesusaparicio69
276703756,Seaside Sparrow,9/8/2023,"County Road 3000, Independence, KS, US",m_nicole2706
276701092,Seaside Sparrow,4/28/2024,"Sebedín, 974 01 Sebedín - Bečov, Slovensko",stefan_j
