id,height,height_vs_avg
100280,57,Below Avg
100460,72,Above Avg
101029,74,Above Avg
101198,54,Below Avg
101255,79,Above Avg
101494,55,Below Avg
101568,78,Above Avg
101586,70,Above Avg
101611,65,Below Avg
101613,58,Below Avg
101640,67,Above Avg
101726,81,Above Avg
101773,57,Below Avg
101782,61,Below Avg
101836,51,Below Avg
101859,71,Above Avg
101862,75,Above Avg
101909,52,Below Avg
102089,52,Below Avg
102182,63,Below Avg
102307,74,Above Avg
102355,67,Above Avg
102536,76,Above Avg
102648,70,Above Avg
102710,63,Below Avg
102844,62,Below Avg
102926,60,Below Avg
102950,78,Above Avg
103085,70,Above Avg
103138,65,Below Avg
103194,65,Below Avg
103197,73,Above Avg
103243,69,Above Avg
103260,59,Below Avg
103417,54,Below Avg
103443,80,Above Avg
103725,57,Below Avg
103838,81,Above Avg
103928,51,Below Avg
103936,82,Above Avg
104476,69,Above Avg
104652,62,Below Avg
104688,77,Above Avg
104732,68,Above Avg
104786,70,Above Avg
104883,55,Below Avg
105064,53,Below Avg
105188,80,Above Avg
105435,57,Below Avg
105508,71,Above Avg
105678,76,Above Avg
106226,70,Above Avg
106354,60,Below Avg
106868,73,Above Avg
106882,71,Above Avg
106921,78,Above Avg
107014,71,Above Avg
107093,57,Below Avg
107129,52,Below Avg
107131,80,Above Avg
107220,55,Below Avg
107354,63,Below Avg
107435,74,Above Avg
107707,51,Below Avg
107867,50,Below Avg
107985,57,Below Avg
108077,69,Above Avg
108108,74,Above Avg
108175,68,Above Avg
108374,63,Below Avg
108596,52,Below Avg
108832,81,Above Avg
108978,56,Below Avg
109032,70,Above Avg
109100,64,Below Avg
109238,76,Above Avg
109249,62,Below Avg
109317,59,Below Avg
109497,59,Below Avg
109596,75,Above Avg
109604,68,Above Avg
109617,76,Above Avg
109638,51,Below Avg
109904,62,Below Avg
109981,78,Above Avg
110018,64,Below Avg
110047,82,Above Avg
110139,50,Below Avg
110356,71,Above Avg
110373,62,Below Avg
110484,59,Below Avg
110511,65,Below Avg
110604,59,Below Avg
110749,50,Below Avg
110759,71,Above Avg
110825,55,Below Avg
110833,81,Above Avg
110956,57,Below Avg
110991,59,Below Avg
111120,66,Below Avg
111327,69,Above Avg
111403,66,Below Avg
111509,53,Below Avg
111615,68,Above Avg
111884,62,Below Avg
111888,68,Above Avg
112066,81,Above Avg
112137,62,Below Avg
112200,70,Above Avg
112201,57,Below Avg
112330,58,Below Avg
112384,80,Above Avg
112429,54,Below Avg
112505,51,Below Avg
112548,64,Below Avg
112654,75,Above Avg
112711,78,Above Avg
112742,62,Below Avg
112927,68,Above Avg
112994,62,Below Avg
113123,82,Above Avg
113238,70,Above Avg
113356,63,Below Avg
113486,58,Below Avg
113523,74,Above Avg
113566,64,Below Avg
113871,67,Above Avg
113884,66,Below Avg
114034,62,Below Avg
114530,76,Above Avg
114723,57,Below Avg
114759,58,Below Avg
114768,78,Above Avg
114786,71,Above Avg
114929,50,Below Avg
115180,53,Below Avg
115428,72,Above Avg
115654,61,Below Avg
115674,74,Above Avg
115676,66,Below Avg
115800,67,Above Avg
116042,63,Below Avg
116043,60,Below Avg
116072,54,Below Avg
116201,81,Above Avg
116339,56,Below Avg
116342,59,Below Avg
116374,71,Above Avg
116393,79,Above Avg
116530,57,Below Avg
116681,74,Above Avg
116863,63,Below Avg
116883,77,Above Avg
116885,71,Above Avg
117138,69,Above Avg
117185,53,Below Avg
117514,52,Below Avg
117539,73,Above Avg
117568,65,Below Avg
117606,72,Above Avg
117680,78,Above Avg
117726,70,Above Avg
117827,71,Above Avg
117937,77,Above Avg
117978,70,Above Avg
118009,84,Above Avg
118181,52,Below Avg
118293,81,Above Avg
118332,75,Above Avg
118365,79,Above Avg
118388,55,Below Avg
118484,82,Above Avg
118564,53,Below Avg
118650,75,Above Avg
118693,51,Below Avg
118695,76,Above Avg
118698,60,Below Avg
118733,53,Below Avg
118747,51,Below Avg
118783,82,Above Avg
118811,62,Below Avg
118819,80,Above Avg
118864,68,Above Avg
119032,62,Below Avg
119156,75,Above Avg
119222,53,Below Avg
119240,77,Above Avg
119248,78,Above Avg
119258,77,Above Avg
119293,67,Above Avg
119343,81,Above Avg
119448,50,Below Avg
119490,80,Above Avg
119507,73,Above Avg
119525,67,Above Avg
119527,82,Above Avg
119539,55,Below Avg
119629,51,Below Avg
119637,75,Above Avg
119673,52,Below Avg
119791,58,Below Avg
119795,81,Above Avg
120202,65,Below Avg
120222,55,Below Avg
120458,51,Below Avg
120519,71,Above Avg
120545,67,Above Avg
120579,74,Above Avg
120768,51,Below Avg
120776,71,Above Avg
120799,52,Below Avg
121019,78,Above Avg
121232,53,Below Avg
121239,68,Above Avg
121261,62,Below Avg
121365,58,Below Avg
121454,64,Below Avg
121496,65,Below Avg
121569,74,Above Avg
121583,71,Above Avg
121617,72,Above Avg
121750,67,Above Avg
121872,53,Below Avg
121973,63,Below Avg
121999,73,Above Avg
122134,61,Below Avg
122156,80,Above Avg
122161,73,Above Avg
122218,51,Below Avg
122260,53,Below Avg
122268,82,Above Avg
122290,73,Above Avg
122314,51,Below Avg
122330,55,Below Avg
122412,51,Below Avg
122422,60,Below Avg
122522,70,Above Avg
122605,68,Above Avg
122616,65,Below Avg
122629,71,Above Avg
122913,71,Above Avg
122935,72,Above Avg
123082,54,Below Avg
123085,74,Above Avg
123129,52,Below Avg
123173,75,Above Avg
123175,51,Below Avg
123277,78,Above Avg
123368,61,Below Avg
123542,73,Above Avg
123675,82,Above Avg
123696,50,Below Avg
123751,71,Above Avg
123784,59,Below Avg
123807,60,Below Avg
124024,60,Below Avg
124047,82,Above Avg
124053,56,Below Avg
124072,76,Above Avg
124154,59,Below Avg
124263,63,Below Avg
124386,56,Below Avg
124421,73,Above Avg
124477,63,Below Avg
124532,79,Above Avg
124573,61,Below Avg
124619,77,Above Avg
124706,67,Above Avg
124854,60,Below Avg
124954,81,Above Avg
125008,77,Above Avg
125056,68,Above Avg
125080,68,Above Avg
125293,56,Below Avg
125430,68,Above Avg
125749,73,Above Avg
125808,79,Above Avg
125852,79,Above Avg
125949,66,Below Avg
125959,56,Below Avg
126096,69,Above Avg
126344,76,Above Avg
126367,62,Below Avg
126441,61,Below Avg
126537,57,Below Avg
126708,65,Below Avg
